idi,idj,farmi,farmj,bmai,bmaj,dij1,dij2,dij3,dij4,dij5,dij6,dij7,dij8,dij9,dij10,dij11,dij12,dij13,dij14,fbi,fbj,farmij,bma1
21,49,350,251,2B,1,44339.918,2097.2788,2064.0232,2040.3585,44350.688,45324.367,65161.934,186655.53,345658,206299.28,203750.39,201774.45,199257.69,44317.234,3-350,1-251,350251,
21,38,350,320,2B,1,47185.648,1923.8345,1851.9108,1775.9827,47204.352,48587.07,71150.211,205770.8,381031.19,108964.04,107503.99,108856.28,109662.73,47120.797,3-350,1-320,350320,
21,57,350,342,2B,1,56266.121,2776.8118,2750.6194,2701.4182,56274.047,56989.211,76974.547,208944.5,384035.06,225237.88,223298.31,220684.91,216292.86,56317.891,3-350,1-342,350342,
21,52,350,370,2B,1,48509.52,2389.1904,2362.2368,2336.6943,48519.02,49361.48,68733.875,193952.14,358324.03,210087.39,209125.61,208275.34,206605.02,48542.176,3-350,1-370,350370,
21,48,350,377,2B,1,46974.637,2217.5081,2185.4158,2162.7441,46985.453,47963.648,67994.836,193018.81,357078.22,211373.3,208780.78,206873.08,204374.8,46941.852,3-350,1-377,350377,
21,43,350,44,2B,1,37060.57,1815.8458,1808.0054,1803.4656,37071.227,37837.98,53576.871,151100.38,277526.69,197010.78,196070.94,194965.09,192727.14,37108.934,3-350,1-44,35044,
21,44,350,45,2B,1,38184.449,1880.9977,1866.3474,1860.2343,38193.875,39048.5,57698.918,164002.28,302701.88,198949.7,197749.38,196601.67,194694.58,38188.977,3-350,1-45,35045,
21,42,350,46,2B,1,38335.059,1905.6576,1881.8323,1864.113,38365.621,39681.773,60241.539,175526.16,324942.28,196927.59,195616.16,194472.28,192950.42,38369.227,3-350,1-46,35046,
21,58,350,502,2B,1,52352.605,2552.2881,2525.7483,2480.4629,52360.473,53069.977,72559.406,201114.92,370401.5,215605,214216.52,212192.86,208254.78,52333.871,3-350,1-502,350502,
21,59,350,504,2B,1,53256.035,2526.2153,2485.6902,2420.2393,53264.129,53995.508,74460.188,206979.39,380931.38,202466.81,201253.5,199709.39,197527.52,53321.766,3-350,1-504,350504,
21,33,350,51,2B,1,38775.609,1611.3469,1549.3652,1475.4801,38790.191,39893.063,62037.301,194474.61,370754.41,95086.633,92959.07,92273.68,91986.141,38798.926,3-350,1-51,35051,
21,29,350,52,2B,1,38198.652,1811.4535,1795.1095,1785.0942,38214.133,39449.316,58697.09,176697.55,334738.75,190364,190402.39,191637.28,191090.86,37662.414,3-350,1-52,35052,
21,28,350,53,2B,1,38877.23,1833.4989,1816.7864,1802.1997,38893.016,39784.957,58954.578,177170.25,335620.56,191000.25,190995.69,192258.8,191621.03,38286.738,3-350,1-53,35053,
